ID,Headline,Description,Publication Date,Source,Semi-Strong,Strong,Weak
385,firms_ unwise addiction to mergers and acquisitions,a bumper year for dealmaking is likely to result in a painful hangover,24/08/2022,Economist,1,0,0
4,why young consumers love birkenstocks,the ancient german sandal-maker goes public,12/10/2023,Economist,1,0,0
9,why companies still want in-house data centres,the unlikely persistence of on-premises computing in the cloud age,05/10/2023,Economist,1,0,0
13,bill ackman wants another shot at shaking up ipos,"a new spin on blank-cheque firms, without some of the bad bits",05/10/2023,Economist,1,0,0
14,so long iphone. generative ai needs a new device,is this the twilight of the screen age?,05/10/2023,Economist,0,0,0
15,america__ bosses grapple with threats to diversity policies,will lawsuits and economic uncertainty be the undoing of dei?,02/10/2023,Economist,1,0,0
21,"hollywood__ strike enters its final act, as writers reach a deal",next: the actors,25/09/2023,Economist,1,0,0
28,what arm and instacart say about the coming ipo wave,the old-school stockmarket debut is back. about time,21/09/2023,Economist,1,0,0
30,could openai be the next tech giant?,what the business of ai__ leading startup says about the technology__ future,18/09/2023,Economist,1,0,0
31,arm__ successful debut may signal an end to the ipo drought,but risks still lie ahead for the chip designer,14/09/2023,Economist,1,0,0
34,electric two-wheelers are creating a buzz in asia,cross-border tie-ups hope to make battery-swapping mainstream,14/09/2023,Economist,1,0,0
36,chinese carmakers are under scrutiny in europe,the eu launches an anti-subsidy investigation,14/09/2023,Economist,0,0,1
38,the plucky firms that are beating big tech,"garmin, dropbox and mercadolibre show carving out a lucrative niche is possible",12/09/2023,Economist,1,0,0
40,tiktok is wading into south-east asia__ e-commerce wars,battered incumbents brace for a costly fight,07/09/2023,Economist,1,0,0
43,meet the world__ most enduring product,the royal enfield bullet has barely changed in its 91 years,07/09/2023,Economist,0,0,1
48,"from social-media stars to the mexican army, everyone wants to run an airline",exotic new airlines are a sign of an industry in full recovery,31/08/2023,Economist,1,0,1
49,cherish your uber drivers. soon they will be robots,the robotaxi revolution is upon us,31/08/2023,Economist,1,0,0
50,the rise of the asian activist investor,elderly boardrooms and huge cash piles are under new shareholder focus,31/08/2023,Economist,1,0,0
52,amazon has hollywood__ worst shows but its best business model,it aims to make video pay by applying the techniques of e-commerce,27/08/2023,Economist,1,0,0
55,how to get the most out of mentoring,the joys of corporate confidantes,24/08/2023,Economist,1,0,0
57,arm__ flotation could revive the market for ipos,"despite a resilient economy and buoyant stocks, listings are still thin on the ground",24/08/2023,Economist,1,0,1
58,arm__ public listing is set to break records,"the company hopes that investors look to its ai future, not its smartphone past",23/08/2023,Economist,1,0,0
68,can uber and lyft ever make real money?,ride-hailing seems a long way from generating riches for investors,10/08/2023,Economist,0,0,0
70,"how green is your electric vehicle, really?",evs are in the middle of an obesity epidemic,10/08/2023,Economist,0,1,1
74,has e-commerce peaked?,the pandemic boom in online retail has given way to stagnation and stiffening competition,04/08/2023,Economist,0,0,1
77,is there more to alphabet than google search?,"as the tech firm nears 25, investors and executives alike look for fresh sources of growth",30/07/2023,Economist,0,1,0
78,why your new ev is making funny noises,car firms offer a new set of sounds to motorists,27/07/2023,Economist,1,0,0
80,can at&t and verizon escape managed decline?,america__ telecoms incumbents are in a funk,27/07/2023,Economist,0,0,0
81,next-generation googles run a tighter ship,"like their big-tech role models, startups embrace efficiency",25/07/2023,Economist,1,0,0
84,startups are producing real dairy without a cow in sight,can precision fermentation eat plant-based milk__ lunch?,20/07/2023,Economist,1,0,0
85,a battle of rickshaw apps shows the promise of india__ digital stack,and its challenges,20/07/2023,Economist,0,0,0
86,can a czech billionaire rescue casino?,the debt-laden french retail chain looks poised to get a foreign owner,20/07/2023,Economist,1,1,0
87,the winners and losers from the $69bn microsoft-activision mega-deal,what__ next in the candy crush saga?,20/07/2023,Economist,1,0,1
89,hollywood__ blockbuster strike may become a flop,stars v suits,19/07/2023,Economist,1,0,0
92,big pharma is warming to the potential of ai,but some worry the terminator is coming,13/07/2023,Economist,0,0,0
