Word,Label
VEX,1
INSURANCE,1
GONE,1
SAYS,1
NOW,1
BEHIND,1
BORROWING,1
WOOD,1
EMBRACE,1
YOUTHFUL,1
INTERRUPTED,0
SAVED,1
CRUMBLING,1
OPENNESS,1
ULTIMATE,1
LA,1
LIMITS,1
DEVELOPER,1
AIMED,1
TEXTILES,1
BRIEF,1
UNICORN,1
EFFECT,1
EVERYBODY,1
BLAME,1
TOOK,1
TODAY,1
COOLANT,1
PRACTICE,1
FUSS,1
GOAT,1
DECENT,1
LAYOUT,1
CHANGE,1
LADY,1
DISPENSE,1
ERRAND,1
REALM,1
SLOWDOWN,0
DISENCHANTED,1
SHOWY,1
RAILWAY,1
MEAL,1
DISCONTENT,1
CARRIER,1
NASTY,1
SMART,1
BOOT,1
SEQUOIA,1
RECORDED,1
TRICKY,1
WORRY,0
EMPTY,1
HALF,1
SHAKING,1
REGULATED,1
ROMANCE,1
DOUBLING,1
SERIOUS,0
APPARATUS,1
MARKETPLACE,1
TOUCH,1
POLICY,1
LIBERTY,1
GROWTH,1
ORE,1
BLOOD,1
SOCIAL,1
WINGED,1
INEVITABLE,0
BUFFET,1
GROUNDED,1
CIGARETTE,1
FEMALE,1
SAUCE,1
PINT,1
CAMPAIGN,1
TAP,1
BOARDROOM,1
PENCIL,1
REDUCE,1
PUNISHMENT,0
REPENT,1
BACON,1
MILK,1
PICNIC,1
DELIVER,1
SPRINTER,1
PEDAL,1
ARCADE,1
REFLEX,1
WAKE,1
MET,1
VIA,1
SLAVE,1
ADDRESSING,1
CONTINUE,1
FREEDOM,1
ENEMY,1
LIBERATING,1
RUT,1
TAINT,0
GEOLOGY,1
VITAL,1
ADVERTISING,1
PUCKERED,1
CLIFFHANGER,1
ANALOGY,1
THROAT,1
APPLY,1
MANAGE,1
DUSK,1
COMPUTING,1
BEAUTIFUL,2
THANKS,1
USING,1
RETAINER,1
LUCK,1
USED,1
SPECTACULAR,2
OFFSHORE,1
RALLY,1
DOMINATED,1
CELEBRITY,1
EMBARK,1
ARRIVAL,1
UNIVERSITY,1
SING,1
NETWORKING,1
INSULATED,1
BUILT,1
MISS,0
SHUT,0
POOR,0
DISCIPLINE,1
MEDAL,1
OPENING,1
ARISTOCRAT,1
FAST,1
SABOTAGE,0
GET,1
CORD,1
KID,1
FATE,1
TRIM,1
READER,1
SPLEEN,1
GREETING,1
CLOTHES,1
TIMES,1
INDUSTRIAL,1
TRIGGER,1
LEAST,1
EATING,1
OUTPERFORM,2
PROGRESS,2
VARIETY,1
TRANSIENT,1
STATUE,1
LOSING,0
DREAMY,1
IMPORTANCE,1
BOMBARDED,1
MARTIN,1
BEACH,1
PLAYED,1
BRILLIANCE,1
EXPERIENCE,1
ASSESSMENT,1
CONSTRUCTION,1
INCONSEQUENTIAL,1
SECRETS,1
POLITICS,1
MARGIN,1
LOAF,1
THEFT,1
PROFITS,1
AID,1
JOIN,1
BUSY,1
MASTER,1
SHORTENING,1
ENTAIL,1
FORMIDABLE,1
CONSULTANCY,1
LAWYERS,1
SLIPPING,1
PRESCRIPTION,1
ABSURD,1
GOD,1
CHANGING,1
AWKWARD,1
UNFORTUNATELY,0
REPUBLIC,1
WHISKERS,1
CALLED,1
HELPER,1
PLIGHT,1
CORPORATION,1
TRAP,1
ENGINE,1
TOGETHER,1
SOL,1
ACCOUNT,1
EXTRA,1
ROBOTICS,1
SAYING,1
VIEWER,1
CENTURY,1
SHOWING,1
VALIANT,1
ENTERING,1
DAUGHTER,1
SINGING,1
GOLDMINE,1
CONTENT,1
BOTHER,1
FADING,1
DISRUPT,0
TERRITORY,1
COMPARE,1
BACKWASH,1
SEAL,1
