number,title,date,stock
530504,US VP Pence Says US Will Continue To Stand Strong Against China On Trade,2020-06-10 17:56:00-04:00,FXI
1261140,"Tesla's Stock Closes At All-Time High As Musk Pushes Semi, Employees Reportedly Test Positive For COVID-19",2020-06-10 17:02:00-04:00,TSLA
1261141,'Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast' -Tweet From Tesla's Elon Musk,2020-06-10 15:08:00-04:00,TSLA
1261142,'Tesla hacker unlocks Performance upgrade and acceleration boost at a discount' -Elektrek Report,2020-06-10 12:41:00-04:00,TSLA
1261144,"Tesla's Journey To $1,000 In 2020",2020-06-10 10:15:00-04:00,TSLA
1261145,"Tesla Shares Mark Session And New All-Time High At $1,000",2020-06-10 09:58:00-04:00,TSLA
1261146,"Wedbush Says Tesla Has 'Game Changing' Developments, Lifts Target To $1,000",2020-06-10 09:00:00-04:00,TSLA
1261147,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $1000",2020-06-10 08:43:00-04:00,TSLA
1261148,Musk Says It's Time To Ramp Production Of Tesla Semi: Report,2020-06-10 08:14:00-04:00,TSLA
1261149,Tesla shares are trading higher after Wedbush raised its price target on the company's stock from $800 to $1000.,2020-06-10 07:55:00-04:00,TSLA
1261150,Electrek Reports Tesla VP Of Business Development In China Has Left Co.,2020-06-10 07:50:00-04:00,TSLA
1261151,"Wedbush Raises Tesla Price Target From $800 To $1,000; Says With Model 3 Demand Ramping In China, US/Europe Lockdown Easing And Battery Developments, Stock 'likely has room to run further'",2020-06-10 07:48:00-04:00,TSLA
1261152,"Tesla's Musk Says It's Time To Bring Tesla Semi To Volume Production; Says Production Of Battery And Powertrain Will Take Place At Nevada Factory, Says Most Of Other Works Probably Occurring In Other States",2020-06-10 07:11:00-04:00,TSLA
1261153,"Hearing Wedbush Raises Tesla Base Price Target From $800 To $1,000; Unconfirmed",2020-06-10 06:55:00-04:00,TSLA
1261154,Key Tesla Executive Behind Shanghai Gigafactory Leaves Company After 5 Years,2020-06-10 04:08:00-04:00,TSLA
530508,China May CPI -0.8% MoM vs -0.5% Est,2020-06-09 21:34:00-04:00,FXI
530509,"'The State Department has informed Congress that it intends to reopen the US consulate in Wuhan, China, later this month...' -Tweet From CNN",2020-06-09 17:02:00-04:00,FXI
1261155,"Volkswagen Cuts Costs, Targets Electric Future",2020-06-09 16:52:00-04:00,TSLA
1261156,Tesla Bolsters EV Enthusiasm With German Factory,2020-06-09 16:30:00-04:00,TSLA
1261157,Tesla Bull Vs. Bear: Ron Baron And Paul Meeks,2020-06-09 14:33:00-04:00,TSLA
530510,"Morgan Stanley CEO James Gorman Says Greater China, Hong Kong Remain Critical To Co.",2020-06-09 12:28:00-04:00,FXI
