number,title,date,stock,sentiment_scores
530504,US VP Pence Says US Will Continue To Stand Strong Against China On Trade,2020-06-10 17:56:00-04:00,FXI,"{'negative': 0.0027036332, 'neutral': 0.99255544, 'positive': 0.004740865}"
1261140,"Tesla's Stock Closes At All-Time High As Musk Pushes Semi, Employees Reportedly Test Positive For COVID-19",2020-06-10 17:02:00-04:00,TSLA,"{'negative': 0.61769533, 'neutral': 0.37977692, 'positive': 0.0025278318}"
1261141,'Tesla factory workplace safety is 5% better than industry average for manufacturers & improving fast' -Tweet From Tesla's Elon Musk,2020-06-10 15:08:00-04:00,TSLA,"{'negative': 0.0029329613, 'neutral': 0.93131495, 'positive': 0.06575208}"
1261142,'Tesla hacker unlocks Performance upgrade and acceleration boost at a discount' -Elektrek Report,2020-06-10 12:41:00-04:00,TSLA,"{'negative': 0.0022431153, 'neutral': 0.9911049, 'positive': 0.0066520753}"
1261144,"Tesla's Journey To $1,000 In 2020",2020-06-10 10:15:00-04:00,TSLA,"{'negative': 0.0013240529, 'neutral': 0.98983824, 'positive': 0.008837665}"
1261145,"Tesla Shares Mark Session And New All-Time High At $1,000",2020-06-10 09:58:00-04:00,TSLA,"{'negative': 0.0014801671, 'neutral': 0.9945475, 'positive': 0.003972349}"
1261146,"Wedbush Says Tesla Has 'Game Changing' Developments, Lifts Target To $1,000",2020-06-10 09:00:00-04:00,TSLA,"{'negative': 0.0025372084, 'neutral': 0.9949202, 'positive': 0.0025426717}"
1261147,"Wedbush Maintains Neutral on Tesla, Raises Price Target to $1000",2020-06-10 08:43:00-04:00,TSLA,"{'negative': 0.0033200346, 'neutral': 0.99488974, 'positive': 0.001790174}"
1261148,Musk Says It's Time To Ramp Production Of Tesla Semi: Report,2020-06-10 08:14:00-04:00,TSLA,"{'negative': 0.0018354147, 'neutral': 0.9966543, 'positive': 0.0015103269}"
1261149,Tesla shares are trading higher after Wedbush raised its price target on the company's stock from $800 to $1000.,2020-06-10 07:55:00-04:00,TSLA,"{'negative': 0.0015484956, 'neutral': 0.9910046, 'positive': 0.0074469335}"
1261150,Electrek Reports Tesla VP Of Business Development In China Has Left Co.,2020-06-10 07:50:00-04:00,TSLA,"{'negative': 0.008167173, 'neutral': 0.991074, 'positive': 0.00075886096}"
1261151,"Wedbush Raises Tesla Price Target From $800 To $1,000; Says With Model 3 Demand Ramping In China, US/Europe Lockdown Easing And Battery Developments, Stock 'likely has room to run further'",2020-06-10 07:48:00-04:00,TSLA,"{'negative': 0.0021347785, 'neutral': 0.9943051, 'positive': 0.0035601691}"
1261152,"Tesla's Musk Says It's Time To Bring Tesla Semi To Volume Production; Says Production Of Battery And Powertrain Will Take Place At Nevada Factory, Says Most Of Other Works Probably Occurring In Other States",2020-06-10 07:11:00-04:00,TSLA,"{'negative': 0.0019563367, 'neutral': 0.99627566, 'positive': 0.0017680377}"
1261153,"Hearing Wedbush Raises Tesla Base Price Target From $800 To $1,000; Unconfirmed",2020-06-10 06:55:00-04:00,TSLA,"{'negative': 0.010186483, 'neutral': 0.98914367, 'positive': 0.0006698685}"
1261154,Key Tesla Executive Behind Shanghai Gigafactory Leaves Company After 5 Years,2020-06-10 04:08:00-04:00,TSLA,"{'negative': 0.052904766, 'neutral': 0.945385, 'positive': 0.0017101511}"
530508,China May CPI -0.8% MoM vs -0.5% Est,2020-06-09 21:34:00-04:00,FXI,"{'negative': 0.0055675097, 'neutral': 0.9933882, 'positive': 0.0010442795}"
530509,"'The State Department has informed Congress that it intends to reopen the US consulate in Wuhan, China, later this month...' -Tweet From CNN",2020-06-09 17:02:00-04:00,FXI,"{'negative': 0.0022227622, 'neutral': 0.99644333, 'positive': 0.0013339284}"
1261155,"Volkswagen Cuts Costs, Targets Electric Future",2020-06-09 16:52:00-04:00,TSLA,"{'negative': 0.0033000421, 'neutral': 0.99420506, 'positive': 0.0024949622}"
1261156,Tesla Bolsters EV Enthusiasm With German Factory,2020-06-09 16:30:00-04:00,TSLA,"{'negative': 0.0022379924, 'neutral': 0.9935309, 'positive': 0.0042310474}"
1261157,Tesla Bull Vs. Bear: Ron Baron And Paul Meeks,2020-06-09 14:33:00-04:00,TSLA,"{'negative': 0.0025280397, 'neutral': 0.99667656, 'positive': 0.0007954875}"
