Date,Open,High,Low,Close*,Adj Close**,Volume
10-Jun-20,66.13,68.5,65.5,68.34,68.34,278451000
9-Jun-20,62.67,63.63,61.6,62.71,62.71,170823000
8-Jun-20,61.27,63.33,60.61,63.33,63.33,212620500
5-Jun-20,58.52,59.1,57.75,59.04,59.04,117178500
4-Jun-20,59.33,59.72,57.23,57.63,57.63,133315500
3-Jun-20,59.21,59.86,58.67,58.86,58.86,119242500
2-Jun-20,59.65,60.58,58.07,58.77,58.77,203484000
1-Jun-20,57.2,59.93,56.94,59.87,59.87,224092500
29-May-20,53.92,55.67,53.61,55.67,55.67,176467500
28-May-20,54.23,54.98,53.45,53.72,53.72,108834000
27-May-20,54.72,55.18,52.33,54.68,54.68,173242500
26-May-20,55.63,55.64,54.38,54.59,54.59,121345500
22-May-20,54.81,55.45,54.13,54.46,54.46,149812500
21-May-20,54.4,55.5,53.07,55.17,55.17,183819000
20-May-20,54.7,55.07,54.12,54.37,54.37,109639500
19-May-20,54.34,54.8,53.74,53.87,53.87,144547500
18-May-20,55.19,55.65,53.59,54.24,54.24,174987000
15-May-20,52.69,53.67,52.44,53.28,53.28,157776000
14-May-20,52,53.56,50.93,53.56,53.56,205233000
13-May-20,54.72,55.07,50.89,52.73,52.73,285982500
12-May-20,55.13,56.22,53.87,53.96,53.96,238603500
11-May-20,52.7,54.93,52.33,54.09,54.09,247794000
8-May-20,52.92,54.93,52.47,54.63,54.63,241297500
7-May-20,51.81,53.09,51.49,52,52,172915500
6-May-20,51.77,52.65,50.74,52.17,52.17,166848000
5-May-20,52.65,53.26,50.81,51.21,51.21,254875500
4-May-20,46.73,50.8,46.53,50.75,50.75,288556500
1-May-20,50.33,51.52,45.54,46.75,46.75,487977000
30-Apr-20,57.01,57.99,50.9,52.13,52.13,427078500
29-Apr-20,52.68,53.55,52.21,53.37,53.37,243240000
28-Apr-20,53.04,53.67,50.45,51.27,51.27,228330000
27-Apr-20,49.17,53.3,49,53.25,53.25,310221000
24-Apr-20,47.39,48.72,46.55,48.34,48.34,198180000
23-Apr-20,48.51,48.93,46.88,47.04,47.04,198550500
22-Apr-20,46.93,48.93,45.91,48.81,48.81,212482500
21-Apr-20,48.67,50.22,44.92,45.78,45.78,303136500
20-Apr-20,48.85,51.04,47.48,49.76,49.76,221199000
17-Apr-20,51.49,51.66,49.84,50.26,50.26,196923000
16-Apr-20,47.8,50.63,47.11,49.68,49.68,309868500
15-Apr-20,49.47,50.21,47.33,48.66,48.66,353655000
14-Apr-20,46.6,49.46,46.16,47.33,47.33,458647500
13-Apr-20,39.34,43.47,38.7,43.4,43.4,337131000
9-Apr-20,37.47,38.35,37.14,38.2,38.2,204750000
8-Apr-20,36.95,37.15,35.56,36.59,36.59,189840000
7-Apr-20,36.33,37.67,35.49,36.36,36.36,268797000
6-Apr-20,34.08,34.73,33.2,34.42,34.42,223527000
3-Apr-20,33.97,34.37,31.23,32,32,338431500
2-Apr-20,32.07,32.95,29.76,30.3,30.3,297876000
1-Apr-20,33.6,34.26,31.67,32.1,32.1,200298000
31-Mar-20,33.42,36.2,33.13,34.93,34.93,266572500
30-Mar-20,34.02,34.44,32.75,33.48,33.48,179971500
27-Mar-20,33.67,35.05,32.94,34.29,34.29,215661000
26-Mar-20,36.49,37.33,34.15,35.21,35.21,260710500
25-Mar-20,36.35,37.13,34.07,35.95,35.95,318340500
24-Mar-20,31.82,34.25,31.6,33.67,33.67,343428000
23-Mar-20,28.91,29.47,27.37,28.95,28.95,246817500
20-Mar-20,29.21,31.8,28.39,28.5,28.5,424282500
19-Mar-20,24.98,30.13,23.9,28.51,28.51,452932500
18-Mar-20,25.93,26.99,23.37,24.08,24.08,356793000
17-Mar-20,29.33,31.46,26.4,28.68,28.68,359919000
16-Mar-20,31.3,32.99,29.48,29.67,29.67,307342500
13-Mar-20,39.67,40.5,33.47,36.44,36.44,339604500
12-Mar-20,38.73,39.63,36.42,37.37,37.37,283636500
11-Mar-20,42.68,43.57,40.87,42.28,42.28,199837500
10-Mar-20,43.96,44.53,40.53,43.02,43.02,233916000
9-Mar-20,40.36,44.2,40.33,40.53,40.53,256105500
6-Mar-20,46,47.13,45.62,46.9,46.9,189943500
5-Mar-20,48.25,49.72,47.87,48.3,48.3,162790500
4-Mar-20,50.93,51.1,48.32,49.97,49.97,225735000
